time,ssp126,ssp245,ssp370,ssp585
2000-01-01,31652.73,31648.76,31648.76,31652.73
2010-01-01,36452.73,36448.76,36448.76,36452.73
2015-01-01,39152.73,39148.76,39148.76,39152.73
2020-01-01,39804.01,40647.53,44808.04,43712.35
2030-01-01,34734.42,43476.06,52847.36,55296.58
2040-01-01,26509.18,44252.9,58497.97,68775.7
2050-01-01,17963.54,43462.19,62904.06,83298.22
2060-01-01,10527.98,40196.48,66568.37,100338.61
2070-01-01,4476.33,35235.43,70041.98,116805.25
2080-01-01,-3285.04,26838.37,73405.23,129647.04
2090-01-01,-8385.18,16324.39,77799.05,130576.24
2100-01-01,-8617.79,9682.86,82725.83,126287.31